Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17
Mohamed Salah,James Maddison,Joel Matip,Gabriel Teodoro Martinelli Silva,Bruno Miguel Borges Fernandes,Jeffrey Schlupp,David Raya Martin,Neal Maupay,Pablo Fornals,Martin Dubravka,Max Kilman,Marc Guéhi,Daniel James,Cristian Romero,Douglas Luiz Soares de Paulo,Yves Bissouma,Victor Lindelöf
Kevin De Bruyne,Jarrod Bowen,Ilkay Gündogan,Kieran Tierney,Richarlison de Andrade,Armando Broja,Hee-Chan Hwang,Ollie Watkins,Eric Dier,Raphaël Varane,Alex Iwobi,Tyrone Mings,Tino Livramento,Pierre-Emile Højbjerg,Christian Nørgaard,Joël Veltman,Joel Ward
Heung-Min Son,Phil Foden,Bukayo Saka,Alisson Ramses Becker,Rayan Ait Nouri,Jorge Luiz Frello Filho,Jack Grealish,Anthony Gordon,Rodrigo Hernandez,Fabian Schär,Rico Henry,Tomas Soucek,Lewis Dunk,Liam Cooper,Kiernan Dewsbury-Hall,Oriol Romeu Vidal,Harry Maguire
Raheem Sterling,Gabriel Fernando de Jesus,Virgil van Dijk,Bernardo Mota Veiga de Carvalho e Silva,Ivan Toney,Frederico Rodrigues de Paula Santos,Alexis Mac Allister,Emerson Aparecido Leite de Souza Junior,Kristoffer Ajer,Joachim Andersen,David de Gea,Dan Burn,Rúben Diogo da Silva Neves,Chris Wood,Kurt Zouma,Illan Meslier,Stuart Dallas
Diogo Jota,Emile Smith Rowe,Marcos Alonso,Sergio Reguilón,James Ward-Prowse,Youri Tielemans,Jacob Ramsey,Aaron Cresswell,Jack Harrison,Allan Saint-Maximin,Cheikhou Kouyaté,Sergi Canós,John McGinn,Lucas Digne,João Filipe Iria Santos Moutinho,José Diogo Dalot Teixeira,Allan Marques Loureiro
Reece James,Harvey Barnes,Rúben Santos Gato Alves Dias,Wilfried Zaha,Kyle Walker,Gabriel Magalhães,Aaron Ramsdale,Jordan Henderson,Fabio Henrique Tavares,Ben Davies,Joseph Willock,Raúl Jiménez,Jan Bednarek,Timothy Castagne,Vladimir Coufal,Mason Holgate,Moussa Sissoko
Trent Alexander-Arnold,Cristiano Ronaldo dos Santos Aveiro,Emiliano Buendía Stati,Che Adams,Raphael Dias Belloli,Demarai Gray,José Malheiro de Sá,Edouard Mendy,Conor Coady,Vitaly Janelt,Pascal Groß,Michael Keane,Abdoulaye Doucouré,Craig Dawson,Kyle Walker-Peters,Declan Rice,Çaglar Söyüncü
Mason Mount,Saïd Benrahma,Aymeric Laporte,Leandro Trossard,Jadon Sancho,Michail Antonio,Mohamed Elyounoussi,César Azpilicueta,Bryan Mbeumo,Leander Dendoncker,Robert Sánchez,Pontus Jansson,Matt Targett,Ethan Pinnock,Joelinton Cássio Apolinário de Lira,Seamus Coleman,Luke Thomas
Andrew Robertson,João Pedro Cavaco Cancelo,Harry Kane,Thiago Emiliano da Silva,Lucas Rodrigues Moura da Silva,Martin Ødegaard,Nathan Redmond,Matthew Cash,Lukasz Fabianski,Kasper Schmeichel,Jordan Ayew,Ben White,Thomas Partey,Fraser Forster,Jonjo Shelvey,Mateusz Klich,Granit Xhaka
Jamie Vardy,Kai Havertz,Danny Ings,Conor Gallagher,Ederson Santana de Moraes,Hugo Lloris,Nélson Cabral Semedo,Vicente Guaita,Marc Cucurella,Emiliano Martínez,Rodrigo Moreno,Jordan Pickford,Tyrick Mitchell,Diego Llorente,Ezri Konsa Ngoyo,Scott McTominay,Daniel Amartey
